"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Generation of Electricity by Sector","31-Dec-2023","TS_GP_RLS_ELECGEN_M.E_006000","......5 Electricity Generation by Gas","1273.796","GWh","Normal","","60","Electricity Generation by Gas"
"Generation of Electricity by Sector","31-Dec-2023","TS_GP_RLS_ELECGEN_M.E_007000","......6 Electricity Generation by Regasification Liquefied Natural Gas(RLNG)","1153.73","GWh","Normal","","70","Electricity Generation by Regasification Liquefied Natural Gas(RLNG)"
"Generation of Electricity by Sector","31-Dec-2023","TS_GP_RLS_ELECGEN_M.E_008000","......7 Electricity Generation by Nuclear","2284.862","GWh","Normal","","80","Electricity Generation by Nuclear"
"Generation of Electricity by Sector","31-Dec-2023","TS_GP_RLS_ELECGEN_M.E_009000","......8 Electricity imported from Iran","39.853","GWh","Normal","","90","Electricity Imported from Iran"
"Generation of Electricity by Sector","31-Dec-2023","TS_GP_RLS_ELECGEN_M.E_010000","......9 Electricity Generation by Mixed","2.179","GWh","Normal","","100","Electricity Generation by Mixed"
"Generation of Electricity by Sector","31-Dec-2023","TS_GP_RLS_ELECGEN_M.E_011000","......10 Electricity Generation by Wind","211.572","GWh","Normal","","110","Electricity Generation by Wind"
"Generation of Electricity by Sector","31-Dec-2023","TS_GP_RLS_ELECGEN_M.E_012000","......11 Electricity Generation by bagasse","101.087","GWh","Normal","","120","Electricity Generation by bagasse"
"Generation of Electricity by Sector","31-Dec-2023","TS_GP_RLS_ELECGEN_M.E_013000","......12 Electricity Generation by Solar","69.46","GWh","Normal","","130","Electricity Generation by Solar"
"Generation of Electricity by Sector","30-Nov-2023","TS_GP_RLS_ELECGEN_M.E_001000",". Total Electricity Generation by all Sources","7546.72","GWh","Normal","","10","Total Electricity Generation by all sources"
"Generation of Electricity by Sector","30-Nov-2023","TS_GP_RLS_ELECGEN_M.E_002000","......1 Electricity Generation by Hydel","2754.862","GWh","Normal","","20","Electricity Generation by Hydel"
"Generation of Electricity by Sector","30-Nov-2023","TS_GP_RLS_ELECGEN_M.E_003000","......2 Electricity Generation by Coal","1473.117","GWh","Normal","","30","Electricity Generation by Coal"
"Generation of Electricity by Sector","30-Nov-2023","TS_GP_RLS_ELECGEN_M.E_004000","......3 Electricity Generation by High Speed Diesel (HSD)","0","GWh","Normal","","40","Electricity Generation by High Speed Diesel (HSD)"
"Generation of Electricity by Sector","30-Nov-2023","TS_GP_RLS_ELECGEN_M.E_005000","......4 Electricity Generation by Residual Fuel Oil (RFO)",".276","GWh","Normal","","50","Electricity Generation by Residual Fuel Oil (RFO)"
"Generation of Electricity by Sector","30-Nov-2023","TS_GP_RLS_ELECGEN_M.E_006000","......5 Electricity Generation by Gas","694.775","GWh","Normal","","60","Electricity Generation by Gas"
"Generation of Electricity by Sector","30-Nov-2023","TS_GP_RLS_ELECGEN_M.E_007000","......6 Electricity Generation by Regasification Liquefied Natural Gas(RLNG)","797.993","GWh","Normal","","70","Electricity Generation by Regasification Liquefied Natural Gas(RLNG)"
"Generation of Electricity by Sector","30-Nov-2023","TS_GP_RLS_ELECGEN_M.E_008000","......7 Electricity Generation by Nuclear","1571.661","GWh","Normal","","80","Electricity Generation by Nuclear"
"Generation of Electricity by Sector","30-Nov-2023","TS_GP_RLS_ELECGEN_M.E_009000","......8 Electricity imported from Iran","29.735","GWh","Normal","","90","Electricity Imported from Iran"
"Generation of Electricity by Sector","30-Nov-2023","TS_GP_RLS_ELECGEN_M.E_010000","......9 Electricity Generation by Mixed","0","GWh","Normal","","100","Electricity Generation by Mixed"
"Generation of Electricity by Sector","30-Nov-2023","TS_GP_RLS_ELECGEN_M.E_011000","......10 Electricity Generation by Wind","147.839","GWh","Normal","","110","Electricity Generation by Wind"
"Generation of Electricity by Sector","30-Nov-2023","TS_GP_RLS_ELECGEN_M.E_012000","......11 Electricity Generation by bagasse","26.677","GWh","Normal","","120","Electricity Generation by bagasse"
"Generation of Electricity by Sector","30-Nov-2023","TS_GP_RLS_ELECGEN_M.E_013000","......12 Electricity Generation by Solar","49.782","GWh","Normal","","130","Electricity Generation by Solar"
"Generation of Electricity by Sector","31-Oct-2023","TS_GP_RLS_ELECGEN_M.E_001000",". Total Electricity Generation by all Sources","9570.28","GWh","Normal","","10","Total Electricity Generation by all sources"
"Generation of Electricity by Sector","31-Oct-2023","TS_GP_RLS_ELECGEN_M.E_002000","......1 Electricity Generation by Hydel","3114.14","GWh","Normal","","20","Electricity Generation by Hydel"
"Generation of Electricity by Sector","31-Oct-2023","TS_GP_RLS_ELECGEN_M.E_003000","......2 Electricity Generation by Coal","1670.17","GWh","Normal","","30","Electricity Generation by Coal"
"Generation of Electricity by Sector","31-Oct-2023","TS_GP_RLS_ELECGEN_M.E_004000","......3 Electricity Generation by High Speed Diesel (HSD)","0","GWh","Normal","","40","Electricity Generation by High Speed Diesel (HSD)"
"Generation of Electricity by Sector","31-Oct-2023","TS_GP_RLS_ELECGEN_M.E_005000","......4 Electricity Generation by Residual Fuel Oil (RFO)","-1.227","GWh","Normal","","50","Electricity Generation by Residual Fuel Oil (RFO)"
"Generation of Electricity by Sector","31-Oct-2023","TS_GP_RLS_ELECGEN_M.E_006000","......5 Electricity Generation by Gas","703.78","GWh","Normal","","60","Electricity Generation by Gas"
"Generation of Electricity by Sector","31-Oct-2023","TS_GP_RLS_ELECGEN_M.E_007000","......6 Electricity Generation by Regasification Liquefied Natural Gas(RLNG)","1938.71","GWh","Normal","","70","Electricity Generation by Regasification Liquefied Natural Gas(RLNG)"
"Generation of Electricity by Sector","31-Oct-2023","TS_GP_RLS_ELECGEN_M.E_008000","......7 Electricity Generation by Nuclear","1826.26","GWh","Normal","","80","Electricity Generation by Nuclear"
"Generation of Electricity by Sector","31-Oct-2023","TS_GP_RLS_ELECGEN_M.E_009000","......8 Electricity imported from Iran","22.539","GWh","Normal","","90","Electricity Imported from Iran"
"Generation of Electricity by Sector","31-Oct-2023","TS_GP_RLS_ELECGEN_M.E_010000","......9 Electricity Generation by Mixed","0","GWh","Normal","","100","Electricity Generation by Mixed"
"Generation of Electricity by Sector","31-Oct-2023","TS_GP_RLS_ELECGEN_M.E_011000","......10 Electricity Generation by Wind","191.141","GWh","Normal","","110","Electricity Generation by Wind"
"Generation of Electricity by Sector","31-Oct-2023","TS_GP_RLS_ELECGEN_M.E_012000","......11 Electricity Generation by bagasse","28.764","GWh","Normal","","120","Electricity Generation by bagasse"
"Generation of Electricity by Sector","31-Oct-2023","TS_GP_RLS_ELECGEN_M.E_013000","......12 Electricity Generation by Solar","75.999","GWh","Normal","","130","Electricity Generation by Solar"
"Generation of Electricity by Sector","30-Sep-2023","TS_GP_RLS_ELECGEN_M.E_001000",". Total Electricity Generation by all Sources","13339.216","GWh","Normal","","10","Total Electricity Generation by all sources"
"Generation of Electricity by Sector","30-Sep-2023","TS_GP_RLS_ELECGEN_M.E_002000","......1 Electricity Generation by Hydel","5008.516","GWh","Normal","","20","Electricity Generation by Hydel"
"Generation of Electricity by Sector","30-Sep-2023","TS_GP_RLS_ELECGEN_M.E_003000","......2 Electricity Generation by Coal","2122.866","GWh","Normal","","30","Electricity Generation by Coal"
"Generation of Electricity by Sector","30-Sep-2023","TS_GP_RLS_ELECGEN_M.E_004000","......3 Electricity Generation by High Speed Diesel (HSD)","0","GWh","Normal","","40","Electricity Generation by High Speed Diesel (HSD)"
"Generation of Electricity by Sector","30-Sep-2023","TS_GP_RLS_ELECGEN_M.E_005000","......4 Electricity Generation by Residual Fuel Oil (RFO)","240.612","GWh","Normal","","50","Electricity Generation by Residual Fuel Oil (RFO)"
"Generation of Electricity by Sector","30-Sep-2023","TS_GP_RLS_ELECGEN_M.E_006000","......5 Electricity Generation by Gas","1005.294","GWh","Normal","","60","Electricity Generation by Gas"
"Generation of Electricity by Sector","30-Sep-2023","TS_GP_RLS_ELECGEN_M.E_007000","......6 Electricity Generation by Regasification Liquefied Natural Gas(RLNG)","2127.804","GWh","Normal","","70","Electricity Generation by Regasification Liquefied Natural Gas(RLNG)"
"Generation of Electricity by Sector","30-Sep-2023","TS_GP_RLS_ELECGEN_M.E_008000","......7 Electricity Generation by Nuclear","2286.35","GWh","Normal","","80","Electricity Generation by Nuclear"
